Depth,Partial Game States,Duplicate Game States,Dead End States,Solutions,Unique Solutions
Level,239
Seconds,453.4
Samples,10000
1,240000,0,0,0,0
2,130009,0,253,0,0
3,54556,2800,2550,0,0
4,69777,10199,7994,0,0
5,94011,18929,9576,0,0
6,93771,19991,9577,0,0
7,116288,24075,15596,0,0
8,156879,35219,26625,0,0
9,200170,43583,37393,0,0
10,235259,52935,45662,0,0
11,283804,60049,61267,0,0
12,332595,63981,79833,0,0
13,379258,68060,103493,0,0
14,389592,76234,128017,0,0
15,435636,80963,149605,0,0
16,474281,86198,176566,0,0
17,472660,93995,178239,0,0
18,403697,86752,145821,0,0
19,301206,69195,103718,0,0
20,197558,48188,63006,0,0
21,123430,30160,37739,0,0
22,79421,15321,20649,0,0
23,57777,6299,11393,0,0
24,46490,3422,7243,0,0
25,38819,2924,5228,0,0
26,33247,2392,3810,0,0
27,28151,1908,3160,0,0
28,25151,1437,2703,0,0
29,24968,1002,2124,0,0
30,27411,681,2050,0,0
31,29277,790,1980,0,0
32,28539,966,1885,0,0
33,28159,970,1670,0,0
34,28043,778,1263,0,0
35,25670,475,944,0,0
36,23247,275,619,0,0
37,22334,144,373,0,0
38,22345,87,206,0,0
39,22862,112,121,0,0
40,23654,177,71,6,6
41,24533,288,18,52,41
42,25072,467,6,306,239
43,24071,845,1,1023,843
44,20836,1047,1,1763,1528
45,15578,928,0,2253,2030
46,9976,674,0,1908,1773
47,5445,388,0,1329,1253
48,2744,256,0,716,695
49,1188,97,0,405,395
50,441,39,0,156,156
51,128,9,0,67,67
52,17,0,0,15,14
53,1,0,0,1,1
54,0,0,0,0,0

