Depth,Partial Game States,Duplicate Game States,Dead End States,Solutions,Unique Solutions,Longest Solves (s),Unique Sol Distribution
Level,415
Seconds,154.0
Samples,10000
Solver Version,1
Analyzer Version,3
Extra Data Length,50
Max Solution Seconds,1
1,120000,0,0,0,0,1,193
2,135060,0,0,0,0,1,170
3,46368,1325,284,0,0,1,169
4,44782,2184,2227,0,0,1,149
5,51273,4514,3996,0,0,1,137
6,58198,6917,6114,0,0,1,144
7,65747,11093,8871,0,0,1,131
8,65934,13390,9876,0,0,1,135
9,70943,16380,12221,0,0,1,127
10,75593,17606,12531,0,0,1,123
11,82906,20102,13333,0,0,1,122
12,94585,26727,15341,0,0,1,124
13,101219,33463,18478,0,0,1,126
14,109677,36121,21008,0,0,1,106
15,125376,40617,24970,0,0,1,110
16,130204,40938,26372,0,0,1,112
17,124524,35594,26409,0,0,1,95
18,113929,30853,26386,0,0,1,100
19,104990,27477,24329,0,0,1,97
20,87283,22788,19561,0,0,1,110
21,71361,16719,14788,0,0,1,112
22,55691,10028,10225,0,0,1,92
23,43506,4902,6383,0,0,1,95
24,39629,2474,4823,0,0,1,98
25,39857,1610,4499,0,0,1,91
26,41277,1307,4147,0,0,1,92
27,41375,1517,3832,0,0,1,83
28,41154,1970,3500,0,0,1,96
29,38942,2268,3126,0,0,1,87
30,36848,1846,2594,0,0,1,89
31,33375,1208,1984,0,0,1,87
32,31445,625,1495,0,0,1,84
33,28475,322,1049,0,0,1,78
34,26776,216,674,0,0,1,76
35,24849,151,408,0,0,1,88
36,24111,91,245,0,0,1,82
37,23596,81,127,0,0,1,92
38,23157,89,73,0,0,1,91
39,22797,130,38,53,7,1,92
40,21850,188,15,250,49,0,78
41,20446,304,12,629,165,0,82
42,18125,349,5,1226,411,0,77
43,14691,386,2,1719,712,0,72
44,10753,348,1,1894,978,0,87
45,6980,254,0,1673,960,0,80
46,3890,162,1,1285,898,0,69
47,1835,92,0,724,508,0,74
48,732,38,0,369,290,0,65
49,222,10,0,134,105,0,79
50,58,5,0,30,27,0,74
51,16,2,0,12,11,0,0
52,2,0,0,2,1,0,0
53,0,0,0,0,0,0,0

