Depth,Partial Game States,Duplicate Game States,Dead End States,Solutions,Unique Solutions,Longest Solves (s),Unique Sol Distribution
Level,dec15
Seconds,131.9
Samples,100000
Solver Version,1
Analyzer Version,2
Extra Data Length,25
Max Solution Seconds,0
1,1000000,0,0,0,0,0,527
2,660473,0,0,0,0,0,116
3,410656,23202,644,0,0,0,62
4,365036,6253,253,0,0,0,62
5,360739,5161,0,0,0,0,40
6,349763,4987,0,0,0,0,36
7,317192,5158,0,0,0,0,33
8,294044,3820,0,0,0,0,25
9,280206,1552,509,0,0,0,21
10,282679,1553,424,0,0,0,22
11,290464,2766,609,0,0,0,23
12,295191,3945,750,0,0,0,18
13,303376,4748,702,0,0,0,22
14,309816,5728,394,0,0,0,17
15,306143,7539,164,0,0,0,19
16,300474,9502,70,1623,2,0,12
17,280056,11689,28,10180,14,0,9
18,227666,13274,5,22268,60,0,12
19,150474,11382,0,28646,240,0,14
20,73683,6421,0,22186,372,0,13
21,26173,2374,0,10813,298,0,11
22,6572,588,0,3445,124,0,10
23,1103,73,0,744,39,0,7
24,130,10,0,84,6,0,14
25,11,0,0,11,0,0,10
26,0,0,0,0,0,0,0

