Depth,Partial Game States,Duplicate Game States,Dead End States,Solutions,Unique Solutions,Longest Solves (s),Unique Sol Distribution
Level,jan7
Seconds,142.8
Samples,10000
Solver Version,1
Analyzer Version,2
Extra Data Length,45
Max Solution Seconds,1
1,220000,0,0,0,0,1,221
2,124512,0,674,0,0,1,219
3,45054,1263,1314,0,0,1,211
4,39710,706,398,0,0,1,211
5,42372,1568,1263,0,0,1,206
6,49144,4127,3806,0,0,1,205
7,52531,6622,6000,0,0,1,205
8,50866,5565,7242,0,0,1,208
9,46383,5332,6434,0,0,1,195
10,54635,6657,8527,0,0,1,194
11,56997,7077,8733,0,0,1,198
12,61976,7530,9326,0,0,1,200
13,78630,9417,14419,0,0,1,195
14,94200,11908,20078,0,0,1,196
15,101362,17931,22186,0,0,1,193
16,119224,23657,26617,0,0,1,189
17,133949,27774,31318,0,0,1,181
18,136889,32750,30339,0,0,1,173
19,134687,38967,30142,0,0,1,174
20,117455,37783,23749,0,0,1,184
21,93413,29806,14726,0,0,1,181
22,73830,22459,9682,0,0,1,178
23,63661,17473,7882,0,0,1,172
24,54907,12812,6394,0,0,1,170
25,45263,8023,5190,0,0,1,175
26,38157,4723,4768,0,0,1,175
27,33448,2957,4519,0,0,1,180
28,31194,1897,3165,0,0,1,176
29,28269,956,2024,0,0,1,170
30,26444,661,1419,0,0,1,174
31,24077,385,995,0,0,1,173
32,22866,283,613,0,0,1,173
33,22605,265,321,0,0,1,159
34,22991,261,126,0,0,1,166
35,23480,275,23,0,0,1,176
36,24221,326,6,0,0,1,168
37,25052,553,0,101,44,1,166
38,25069,851,0,650,395,1,166
39,23123,1165,0,1512,1038,1,168
40,18376,1179,0,2270,1795,1,167
41,11975,927,0,2347,2014,1,157
42,6249,522,0,1705,1562,1,165
43,2548,213,0,929,862,1,152
44,813,80,0,352,333,1,149
45,212,20,0,106,105,1,161
46,37,1,0,25,24,0,0
47,3,0,0,3,3,0,0
48,0,0,0,0,0,0,0

