Depth,Partial Game States,Duplicate Game States,Dead End States,Solution States,Unique Solution States
Level,107
Seconds,1.6
Samples,100
1,2400,0,0,0,0
2,1448,3,28,0,0
3,741,69,40,0,0
4,809,174,80,0,0
5,1023,222,147,0,0
6,1143,308,161,0,0
7,1325,410,219,0,0
8,1517,504,249,0,0
9,1650,606,299,0,0
10,1854,721,394,0,0
11,1714,725,371,0,0
12,1362,541,314,0,0
13,946,313,215,0,0
14,624,139,115,0,0
15,677,73,80,0,0
16,784,70,111,0,0
17,621,69,118,0,0
18,513,64,110,0,0
19,491,43,81,0,0
20,413,30,42,0,0
21,344,6,32,0,0
22,241,5,26,0,0
23,251,6,33,0,0
24,233,10,37,0,0
25,257,12,34,0,0
26,312,14,40,0,0
27,323,19,38,0,0
28,355,17,30,0,0
29,241,8,12,0,0
30,275,4,7,0,0
31,260,2,4,0,0
32,263,0,1,0,0
33,270,1,0,0,0
34,249,0,0,0,0
35,283,1,0,0,0
36,271,0,0,0,0
37,265,1,0,0,0
38,272,3,0,0,0
39,265,5,0,0,0
40,275,5,0,4,4
41,260,7,0,6,6
42,231,14,0,17,16
43,159,8,0,26,25
44,122,12,0,16,16
45,46,3,0,24,23
46,14,1,0,4,4
47,6,1,0,2,2
48,1,0,0,1,1

