Depth,Partial Game States,Duplicate Game States,Dead End States,Solutions,Unique Solutions
Level,dec13
Seconds,44.0
Samples,10000
1,180000,0,0,0,0
2,101167,0,531,0,0
3,40395,1446,375,0,0
4,41025,2426,2262,0,0
5,50903,5867,5522,0,0
6,64674,8447,10164,0,0
7,52838,6579,11077,0,0
8,39999,3733,6402,0,0
9,28147,1322,3060,0,0
10,30071,707,2530,0,0
11,34860,474,3280,0,0
12,27560,297,2634,0,0
13,22364,94,1485,0,0
14,22233,40,1050,0,0
15,26059,55,1489,0,0
16,25190,84,1810,0,0
17,21003,107,1441,0,0
18,21825,175,702,0,0
19,22453,276,741,0,0
20,24580,407,638,0,0
21,25725,555,638,0,0
22,25148,573,756,0,0
23,24405,512,639,0,0
24,24277,347,409,0,0
25,24642,206,182,0,0
26,24988,162,54,0,0
27,25431,227,12,0,0
28,26049,407,4,28,3
29,26190,644,1,349,58
30,24609,1065,1,1240,316
31,20019,1255,0,2247,860
32,13334,1060,0,2576,1290
33,7059,603,0,1952,1190
34,2873,263,0,1067,777
35,875,72,0,401,315
36,212,19,0,114,102
37,30,0,0,24,22
38,2,0,0,2,2
39,0,0,0,0,0

