Depth,Partial Game States,Duplicate Game States,Dead End States,Solutions,Unique Solutions,Longest Solves (s),Unique Sol Distribution
Level,dec16
Seconds,516.1
Samples,1000
Solver Version,1
Analyzer Version,2
Extra Data Length,15
Max Solution Seconds,1
1,10000,0,0,0,0,1,4
2,56000,20000,1616,0,0,1,0
3,104000,46000,2692,0,0,1,0
4,164000,70000,6728,0,0,1,0
5,262513,109513,10248,0,0,1,0
6,452541,175541,29057,0,0,1,0
7,717516,311516,46951,0,0,1,0
8,1042680,478680,73022,0,0,1,0
9,1444555,709555,88847,0,0,1,0
10,1919558,931558,115856,0,0,1,0
11,2704947,1286947,173959,0,0,1,0
12,3994231,1912231,273833,0,0,1,0
13,5931971,2965971,201477,0,0,1,0
14,4555202,2381392,0,1000,4,1,0
15,0,0,0,0,0,1,0
16,0,0,0,0,0,0,0

