Depth,Partial Game States,Duplicate Game States,Dead End States,Solutions,Unique Solutions,Longest Solves (s),Unique Sol Distribution
Level,jan15
Seconds,115.1
Samples,100000
Solver Version,1
Analyzer Version,2
Extra Data Length,20
Max Solution Seconds,0
1,1000000,0,0,0,0,0,516
2,619740,0,0,0,0,0,122
3,333057,18308,3929,0,0,0,83
4,298650,4752,247,0,0,0,41
5,276116,4468,2538,0,0,0,38
6,244032,1267,4860,0,0,0,25
7,237320,1240,2784,0,0,0,28
8,253848,1533,714,0,0,0,14
9,279516,529,60,0,0,0,21
10,297214,1926,42,0,0,0,18
11,305632,3924,56,0,0,0,20
12,309038,4596,86,0,0,0,15
13,308776,5709,92,0,0,0,9
14,301591,6940,62,0,0,0,13
15,282536,10179,34,4692,2,0,7
16,244581,14850,11,18294,24,0,14
17,174846,13961,2,29227,97,0,12
18,96006,8812,0,26051,250,0,15
19,37975,3562,0,14955,337,0,7
20,10327,919,0,5406,217,0,10
21,1820,130,0,1211,78,0,0
22,200,9,0,152,22,0,0
23,12,0,0,12,1,0,0
24,0,0,0,0,0,0,0

