Depth,Partial Game States,Duplicate Game States,Dead End States,Solutions,Unique Solutions
Level,247
Seconds,113.7
Samples,10000
1,240000,0,0,0,0
2,131700,0,10,0,0
3,40841,1204,399,0,0
4,36936,1256,251,0,0
5,42591,2077,1720,0,0
6,56963,4483,3506,0,0
7,61948,6371,4541,0,0
8,70278,10914,9939,0,0
9,93384,20279,15541,0,0
10,95064,20212,16215,0,0
11,88209,16529,16095,0,0
12,78512,13554,15324,0,0
13,62875,9489,12849,0,0
14,50253,6139,8576,0,0
15,50075,4323,7571,0,0
16,50925,3306,7212,0,0
17,42950,2626,6572,0,0
18,31499,1922,4315,0,0
19,28127,1320,2905,0,0
20,29998,708,1864,0,0
21,31581,504,1708,0,0
22,32593,597,1954,0,0
23,34183,637,2102,0,0
24,36708,625,2375,0,0
25,38130,649,2615,0,0
26,36756,676,2678,0,0
27,35342,690,2627,0,0
28,32683,720,2499,0,0
29,31506,706,2216,0,0
30,29618,629,1906,0,0
31,28180,535,1534,0,0
32,26310,402,1088,0,0
33,25631,297,663,0,0
34,25275,226,353,0,0
35,25262,203,153,0,0
36,25365,203,61,0,0
37,25724,260,20,10,4
38,26161,410,7,92,57
39,26025,592,3,440,298
40,24680,917,3,997,777
41,21254,992,1,1690,1426
42,16018,987,1,2010,1766
43,10798,800,1,1872,1702
44,5917,483,0,1469,1372
45,2709,242,0,869,831
46,934,82,0,390,380
47,251,23,0,126,125
48,45,3,0,31,31
49,6,1,0,3,3
50,2,0,0,0,0
51,4,1,0,0,0
52,1,0,0,1,1
53,0,0,0,0,0

