Depth,Partial Game States,Duplicate Game States,Dead End States,Solutions,Unique Solutions,Longest Solves (s),Unique Sol Distribution
Level,282
Seconds,63.8
Samples,10000
Solver Version,1
Analyzer Version,2
Extra Data Length,35
Max Solution Seconds,1
1,180000,0,0,0,0,1,273
2,104479,0,0,0,0,1,257
3,42471,1402,43,0,0,1,244
4,36556,736,251,0,0,1,239
5,39973,1859,1805,0,0,1,224
6,46748,2979,4618,0,0,1,215
7,46020,4089,3976,0,0,1,212
8,47420,6487,5324,0,0,1,199
9,52253,7845,6809,0,0,0,199
10,64858,10516,8471,0,0,0,192
11,71029,14036,11272,0,0,0,192
12,80720,19038,15847,0,0,0,201
13,74200,18548,15214,0,0,0,181
14,66885,15452,12596,0,0,0,179
15,61860,12639,11919,0,0,0,164
16,52974,9515,11031,0,0,0,182
17,42774,4807,6835,0,0,0,161
18,33605,1238,3807,0,0,0,159
19,29757,411,1914,0,0,0,151
20,27761,363,950,0,0,0,167
21,26005,350,688,0,0,0,163
22,24931,283,446,0,0,0,155
23,24102,257,319,0,0,0,144
24,24388,225,183,0,0,0,155
25,24382,191,90,0,0,0,156
26,24770,266,21,0,0,0,152
27,25901,321,3,0,0,0,158
28,27020,540,3,136,23,0,141
29,26789,914,1,816,254,0,156
30,22998,1309,1,2068,971,0,136
31,15961,1251,0,2782,1710,0,139
32,8434,741,0,2299,1691,0,158
33,3455,321,0,1266,1015,0,134
34,1004,82,0,485,436,0,157
35,210,17,0,126,113,0,138
36,22,0,0,22,20,0,0
37,0,0,0,0,0,0,0

