Depth,Partial Game States,Duplicate Game States,Dead End States,Solutions,Unique Solutions,Longest Solves (s),Unique Sol Distribution
Level,dec21
Seconds,72.5
Samples,10000
Solver Version,1
Analyzer Version,2
Extra Data Length,40
Max Solution Seconds,1
1,220000,0,0,0,0,1,248
2,122738,0,22,0,0,1,242
3,42648,1264,31,0,0,1,237
4,40088,1501,1650,0,0,1,233
5,44461,4479,1647,0,0,1,233
6,44676,7007,2407,0,0,1,226
7,47371,7924,3051,0,0,1,227
8,44240,8347,3842,0,0,1,222
9,48776,7335,4838,0,0,1,217
10,38566,4738,3791,0,0,0,216
11,41964,4506,3311,0,0,0,220
12,43641,6981,3737,0,0,0,214
13,47030,7713,4262,0,0,0,219
14,47946,8150,5213,0,0,0,214
15,49018,8114,7087,0,0,0,206
16,44311,5922,5705,0,0,0,215
17,38502,3831,3543,0,0,0,211
18,35912,3079,3184,0,0,0,203
19,34283,2686,2849,0,0,0,200
20,34612,2166,2412,0,0,0,213
21,37104,1824,2538,0,0,0,202
22,35517,1515,2613,0,0,0,207
23,33509,1163,2295,0,0,0,195
24,32790,977,2103,0,0,0,198
25,30176,756,1692,0,0,0,192
26,26591,490,1129,0,0,0,196
27,24869,293,677,0,0,0,186
28,24010,183,339,0,0,0,198
29,23594,141,159,0,0,0,195
30,23344,128,61,0,0,0,194
31,23893,144,17,0,0,0,190
32,24720,259,7,25,14,0,178
33,25320,582,3,337,159,0,191
34,24136,1015,0,1189,777,0,192
35,20070,1218,0,2225,1714,0,183
36,13721,1054,0,2505,2118,0,175
37,7339,576,0,2028,1835,0,174
38,3098,268,0,1070,991,0,180
39,1041,98,0,444,421,0,182
40,292,29,0,130,126,0,177
41,69,6,0,39,38,0,0
42,8,0,0,8,8,0,0
43,0,0,0,0,0,0,0

